Code,Status,Country Name,Country Code,Category,KeyWord to Search,Document Title,Exists?,Type,Publication Date,Publication Year,,Start Year,End Year,Language,Link
BIH-NSAPES--,,Bosnia and Herzegovina,BIH,NSAPES,intitle:'Bosnia and Herzegovina Strategic Action Plan Energy Sector',,,,,,,,,,
BIH-NREEEP--,,Bosnia and Herzegovina,BIH,NREEEP,intitle:'Bosnia and Herzegovina Renewable Electricity and Energy Efficiency Plan',,,,,,,,,,
BIH-NSP--,,Bosnia and Herzegovina,BIH,NSP,intitle:'Bosnia and Herzegovina Strategic Plan',,,,,,,,,,
BIH-NEAP--,,Bosnia and Herzegovina,BIH,NEAP,intitle:'Bosnia and Herzegovina Energy Action Plan',,,,,,,,,,
BWA-CPD-2021-EN,,Botswana,BWA,CPD,,,Y,Text,30 August to 2 September 2021,2021,,2022,2026,EN,https://digitallibrary.un.org/record/3932442/files/DP_DCP_BWA_3-EN.pdf?ln=en
BWA-CPD-2021-SP,,Botswana,BWA,CPD,,,Y,Text,30 August to 2 September 2021,2021,,2022,2026,SP,https://digitallibrary.un.org/record/3932442/files/DP_DCP_BWA_3-ES.pdf?ln=en
BWA-CPD-2021-FR,,Botswana,BWA,CPD,,,Y,Text,30 August to 2 September 2021,2021,,2022,2026,FR,https://digitallibrary.un.org/record/3932442/files/DP_DCP_BWA_3-FR.pdf?ln=en
BWA-NEP-2021-EN,,Botswana,BWA,NEP,,,Y,Text,April 2021,2021,,2020,2040,EN,https://www.bera.co.bw/downloads/National%20Energy%20Policy%20Final%20April%202021.pdf
BWA-NEPro-2022-EN,,Botswana,BWA,NEPro,,,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Botswana_Africa_RE_SP.pdf?country=Botswana&regionID=&countryID=fcbacd9a-8c33-4807-8d21-76a496353e8e
BWA-NEP--,,Botswana,BWA,NEP,intitle:'Botswana Energy Policy',,,,,,,,,,
BWA-NREP-2021-EN,,Botswana,BWA,NREP,,,Y,Data,2021,2021,,2021,2040,EN,https://mc-cd8320d4-36a1-40ac-83cc-3389-cdn-endpoint.azureedge.net/-/media/Files/IRENA/Agency/Publication/2021/Aug/IRENA_RRA_Botswana_2021.pdf?rev=a3e75f3468e04e96a84304a5a00a4960
BWA-NREPl--,,Botswana,BWA,NREPl,intitle:'Botswana Renewable Energy Plan',,,,,,,,,,
BWA-NETS--,,Botswana,BWA,NETS,intitle:'Botswana Energy Transition Strategy',,,,,,,,,,
BWA-NES--,,Botswana,BWA,NES,intitle:'Botswana Energy Strategy',,,,,,,,,,
BWA-NEEP--,,Botswana,BWA,NEEP,intitle:'Botswana Energy Efficiency Plan',,,,,,,,,,
BWA-NEPF--,,Botswana,BWA,NEPF,intitle:'Botswana Energy Policy Frameworks',,,,,,,,,,
BWA-NRER--,,Botswana,BWA,NRER,intitle:'Botswana Renewable Energy Roadmap',,,,,,,,,,
BWA-NREIP--,,Botswana,BWA,NREIP,intitle:'Botswana Renewable Energy Investment Plan',,,,,,,,,,
BWA-AREA--,,Botswana,BWA,AREA,intitle:'Botswana Atomic Energy Regulatory Act',,,,,,,,,,
BWA-ASE--,,Botswana,BWA,ASE,intitle:'Botswana Achieving Sustainable Energ',,,,,,,,,,
BWA-LCEDP--,,Botswana,BWA,LCEDP,intitle:'Botswana Least Cost Energy Development Plan',,,,,,,,,,
BWA-NECP--,,Botswana,BWA,NECP,intitle:'Botswana Energy and Climate Plan',,,,,,,,,,
BWA-NEDS--,,Botswana,BWA,NEDS,intitle:'Botswana Energy Development Strategy',,,,,,,,,,
BWA-NGP--,,Botswana,BWA,NGP,intitle:'Botswana Gas Policy',,,,,,,,,,
BWA-NREAP--,,Botswana,BWA,NREAP,intitle:'Botswana Renewable Energy Action Plan',,,,,,,,,,
BWA-NREDS--,,Botswana,BWA,NREDS,intitle:'Botswana Renewable Energy Development Strategy',,,,,,,,,,
BWA-NREEP--,,Botswana,BWA,NREEP,intitle:'Botswana Rational and Efficient use of Energy Plan',,,,,,,,,,
BWA-NRES--,,Botswana,BWA,NRES,intitle:'Botswana /Renewable Energy Strategy',,,,,,,,,,
BWA-SREP--,,Botswana,BWA,SREP,intitle:'Botswana Scaling Up Renewable Energy Program',,,,,,,,,,
BWA-NSESDSP--,,Botswana,BWA,NSESDSP,intitle:'Botswana SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,,,,,,,,,
BWA-SEP--,,Botswana,BWA,SEP,intitle:'Botswana Sustainable Energy Project',,,,,,,,,,
BWA-NER--,,Botswana,BWA,NER,intitle:'Botswana Energy Roadmap',,,,,,,,,,
BWA-NEPEAP--,,Botswana,BWA,NEPEAP,intitle:'Botswana Energy Policy and Energy Action Plan',,,,,,,,,,
BWA-NSAPES--,,Botswana,BWA,NSAPES,intitle:'Botswana Strategic Action Plan Energy Sector',,,,,,,,,,
BWA-NREEEP--,,Botswana,BWA,NREEEP,intitle:'Botswana Renewable Electricity and Energy Efficiency Plan',,,,,,,,,,
BWA-NSP--,,Botswana,BWA,NSP,intitle:'Botswana Strategic Plan',,,,,,,,,,
BWA-NEAP--,,Botswana,BWA,NEAP,intitle:'Botswana Energy Action Plan',,,,,,,,,,
BRA-CPD-2016-EN,,Brazil,BRA,CPD,,,Y,Text,6 – 9 September 2016,2016,,2017,2021,EN,https://www.undp.org/sites/g/files/zskgke326/files/2022-08/undp-rblac-cpd-brazil.pdf
BRA-NEP-2007-EN,,Brazil,BRA,NEP,,,Y,Text,2007,2007,,2007,2030,EN,https://cdn.climatepolicyradar.org/navigator/BRA/2007/national-energy-plan-2030_deeb18f91444668b24edbe4c1eb337c8.pdf
BRA-NEPro-2022-EN,,Brazil,BRA,NEPro,,,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/South-America/Brazil_South-America_RE_SP.pdf?country=Brazil&regionID=&countryID=336ed371-2609-40ab-80b7-b67168494e1b
BRA-NEP--,,Brazil,BRA,NEP,intitle:'Brazil Energy Policy',,,,,,,,,,
BRA-NREP-FREE-EN,,Brazil,BRA,NREP,,,Y,,NOT FREE,FREE,,NOT FREE,NOT FREE,EN,https://www.researchandmarkets.com/reports/5765804/brazil-renewable-energy-policy-handbook-update
BRA-NREPl--,,Brazil,BRA,NREPl,intitle:'Brazil Renewable Energy Plan',,,,,,,,,,
BRA-NETS--,,Brazil,BRA,NETS,intitle:'Brazil Energy Transition Strategy',,,,,,,,,,
BRA-NES--,,Brazil,BRA,NES,intitle:'Brazil Energy Strategy',,,,,,,,,,
BRA-NEEP--,,Brazil,BRA,NEEP,intitle:'Brazil Energy Efficiency Plan',,,,,,,,,,
BRA-NEPF--,,Brazil,BRA,NEPF,intitle:'Brazil Energy Policy Frameworks',,,,,,,,,,
BRA-NRER--,,Brazil,BRA,NRER,intitle:'Brazil Renewable Energy Roadmap',,,,,,,,,,
BRA-NREIP--,,Brazil,BRA,NREIP,intitle:'Brazil Renewable Energy Investment Plan',,,,,,,,,,
BRA-AREA--,,Brazil,BRA,AREA,intitle:'Brazil Atomic Energy Regulatory Act',,,,,,,,,,
BRA-ASE--,,Brazil,BRA,ASE,intitle:'Brazil Achieving Sustainable Energ',,,,,,,,,,
BRA-LCEDP--,,Brazil,BRA,LCEDP,intitle:'Brazil Least Cost Energy Development Plan',,,,,,,,,,
BRA-NECP--,,Brazil,BRA,NECP,intitle:'Brazil Energy and Climate Plan',,,,,,,,,,
BRA-NEDS--,,Brazil,BRA,NEDS,intitle:'Brazil Energy Development Strategy',,,,,,,,,,
BRA-NGP--,,Brazil,BRA,NGP,intitle:'Brazil Gas Policy',,,,,,,,,,
BRA-NREAP--,,Brazil,BRA,NREAP,intitle:'Brazil Renewable Energy Action Plan',,,,,,,,,,
BRA-NREDS--,,Brazil,BRA,NREDS,intitle:'Brazil Renewable Energy Development Strategy',,,,,,,,,,
BRA-NREEP--,,Brazil,BRA,NREEP,intitle:'Brazil Rational and Efficient use of Energy Plan',,,,,,,,,,
BRA-NRES--,,Brazil,BRA,NRES,intitle:'Brazil /Renewable Energy Strategy',,,,,,,,,,
BRA-SREP--,,Brazil,BRA,SREP,intitle:'Brazil Scaling Up Renewable Energy Program',,,,,,,,,,
BRA-NSESDSP--,,Brazil,BRA,NSESDSP,intitle:'Brazil SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,,,,,,,,,
BRA-SEP--,,Brazil,BRA,SEP,intitle:'Brazil Sustainable Energy Project',,,,,,,,,,
BRA-NER--,,Brazil,BRA,NER,intitle:'Brazil Energy Roadmap',,,,,,,,,,
BRA-NEPEAP--,,Brazil,BRA,NEPEAP,intitle:'Brazil Energy Policy and Energy Action Plan',,,,,,,,,,
BRA-NSAPES--,,Brazil,BRA,NSAPES,intitle:'Brazil Strategic Action Plan Energy Sector',,,,,,,,,,
BRA-NREEEP--,,Brazil,BRA,NREEEP,intitle:'Brazil Renewable Electricity and Energy Efficiency Plan',,,,,,,,,,
BRA-NSP--,,Brazil,BRA,NSP,intitle:'Brazil Strategic Plan',,,,,,,,,,
BRA-NEAP--,,Brazil,BRA,NEAP,intitle:'Brazil Energy Action Plan',,,,,,,,,,
BFA-CPD-2018-EN,Completed,Burkina Faso,BFA,CPD,,UN Country programme document for Burkina Faso,Y,Text,22-26 January 2018,2018,,2018,2020,EN,https://digitallibrary.un.org/record/1327597/files/DP_DCP_BFA_3-EN.pdf?ln=en
BFA-CPD-2018-FR,,Burkina Faso,BFA,CPD,,,Y,Text,22-26 January 2018,2018,,2018,2020,FR,https://digitallibrary.un.org/record/1327597/files/DP_DCP_BFA_3-FR.pdf?ln=en
BFA-CPD-2018-SP,,Burkina Faso,BFA,CPD,,,Y,Text,22-26 January 2018,2018,,2018,2020,SP,https://digitallibrary.un.org/record/1327597/files/DP_DCP_BFA_3-ES.pdf?ln=en
BFA-NEPro-2022-EN,Completed,Burkina Faso,BFA,NEPro,,Energy Profile Burkina Faso IRENA,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Burkina-Faso_Africa_RE_SP.pdf?country=Burkina+Faso&regionID=&countryID=a8a1e46e-aed8-4210-8e64-5186bea672c9
BFA-NEP--,,Burkina Faso,BFA,NEP,intitle:'Burkina Faso Energy Policy',,,,,,,,,,
BFA-NREP--,,Burkina Faso,BFA,NREP,intitle:'Burkina Faso Renewable Energy Policy',,,,,,,,,,
BFA-NREPl--,,Burkina Faso,BFA,NREPl,intitle:'Burkina Faso Renewable Energy Plan',,,,,,,,,,
BFA-NETS--,,Burkina Faso,BFA,NETS,intitle:'Burkina Faso Energy Transition Strategy',,,,,,,,,,
BFA-NES--,,Burkina Faso,BFA,NES,intitle:'Burkina Faso Energy Strategy',,,,,,,,,,
BFA-NEEP--,,Burkina Faso,BFA,NEEP,intitle:'Burkina Faso Energy Efficiency Plan',,,,,,,,,,
BFA-NEPF--,,Burkina Faso,BFA,NEPF,intitle:'Burkina Faso Energy Policy Frameworks',,,,,,,,,,
BFA-NRER--,,Burkina Faso,BFA,NRER,intitle:'Burkina Faso Renewable Energy Roadmap',,,,,,,,,,
BFA-NREIP--,,Burkina Faso,BFA,NREIP,intitle:'Burkina Faso Renewable Energy Investment Plan',,,,,,,,,,
BFA-AREA--,,Burkina Faso,BFA,AREA,intitle:'Burkina Faso Atomic Energy Regulatory Act',,,,,,,,,,
BFA-ASE--,,Burkina Faso,BFA,ASE,intitle:'Burkina Faso Achieving Sustainable Energ',,,,,,,,,,
BFA-LCEDP--,,Burkina Faso,BFA,LCEDP,intitle:'Burkina Faso Least Cost Energy Development Plan',,,,,,,,,,
BFA-NECP--,,Burkina Faso,BFA,NECP,intitle:'Burkina Faso Energy and Climate Plan',,,,,,,,,,
BFA-NEDS--,,Burkina Faso,BFA,NEDS,intitle:'Burkina Faso Energy Development Strategy',,,,,,,,,,
BFA-NGP--,,Burkina Faso,BFA,NGP,intitle:'Burkina Faso Gas Policy',,,,,,,,,,
BFA-NREAP--,,Burkina Faso,BFA,NREAP,intitle:'Burkina Faso Renewable Energy Action Plan',,,,,,,,,,
BFA-NREDS--,,Burkina Faso,BFA,NREDS,intitle:'Burkina Faso Renewable Energy Development Strategy',,,,,,,,,,
BFA-NREEP--,,Burkina Faso,BFA,NREEP,intitle:'Burkina Faso Rational and Efficient use of Energy Plan',,,,,,,,,,
BFA-NRES--,,Burkina Faso,BFA,NRES,intitle:'Burkina Faso /Renewable Energy Strategy',,,,,,,,,,
BFA-SREP--,,Burkina Faso,BFA,SREP,intitle:'Burkina Faso Scaling Up Renewable Energy Program',,,,,,,,,,
BFA-NSESDSP--,,Burkina Faso,BFA,NSESDSP,intitle:'Burkina Faso SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,,,,,,,,,
BFA-SEP--,,Burkina Faso,BFA,SEP,intitle:'Burkina Faso Sustainable Energy Project',,,,,,,,,,
BFA-NER--,,Burkina Faso,BFA,NER,intitle:'Burkina Faso Energy Roadmap',,,,,,,,,,
BFA-NEPEAP--,,Burkina Faso,BFA,NEPEAP,intitle:'Burkina Faso Energy Policy and Energy Action Plan',,,,,,,,,,
BFA-NSAPES--,,Burkina Faso,BFA,NSAPES,intitle:'Burkina Faso Strategic Action Plan Energy Sector',,,,,,,,,,
BFA-NREEEP--,,Burkina Faso,BFA,NREEEP,intitle:'Burkina Faso Renewable Electricity and Energy Efficiency Plan',,,,,,,,,,
BFA-NSP--,,Burkina Faso,BFA,NSP,intitle:'Burkina Faso Strategic Plan',,,,,,,,,,
BFA-NEAP--,,Burkina Faso,BFA,NEAP,intitle:'Burkina Faso Energy Action Plan',,,,,,,,,,
BDI-CPD-2019-EN,Comleted,Burundi,BDI,CPD,,UN Country programme document for Burundi (2019-2023),Y,Text,21-25 January 2019,2019,,2019,2023,EN,https://digitallibrary.un.org/record/1656941/files/DP_DCP_BDI_4-EN.pdf?ln=en
BDI-CPD-2019-SP,,Burundi,BDI,CPD,,,Y,Text,21-25 January 2019,2019,,2019,2023,SP,https://digitallibrary.un.org/record/1656941/files/DP_DCP_BDI_4-ES.pdf?ln=en
BDI-CPD-2019-FR,,Burundi,BDI,CPD,,,Y,Text,21-25 January 2019,2019,,2019,2023,FR,https://digitallibrary.un.org/record/1656941/files/DP_DCP_BDI_4-FR.pdf?ln=en
BDI-NEP--,,Burundi,BDI,NEP,intitle:'Burundi Energy Policy',,N,,,,,,,,
BDI-NES-2011-EN,Completed,Burundi,BDI,NES,,EUEI Energy Strategy and Action Plan for Burundi,Y,Text,2011,2011,,2010,2020,EN,https://cdn.climatepolicyradar.org/navigator/BDI/2011/energy-strategy-and-action-plan-2011_96451afd5519ade22748864dc1bd389f.pdf
BDI-NEPro-2022-EN,Completed,Burundi,BDI,NEPro,,IRENA Energy Profile Burundi,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Burundi_Africa_RE_SP.pdf?country=Burundi&regionID=&countryID=1cf53483-c4ea-44b3-b081-e55ae0e4795b
BDI-NEP--,,Burundi,BDI,NEP,intitle:'Burundi Energy Policy',,,,,,,,,,
BDI-NREP--,,Burundi,BDI,NREP,intitle:'Burundi Renewable Energy Policy',,,,,,,,,,
BDI-NREPl--,,Burundi,BDI,NREPl,intitle:'Burundi Renewable Energy Plan',,,,,,,,,,
BDI-NETS--,,Burundi,BDI,NETS,intitle:'Burundi Energy Transition Strategy',,,,,,,,,,
BDI-NEEP--,,Burundi,BDI,NEEP,intitle:'Burundi Energy Efficiency Plan',,,,,,,,,,
BDI-NEPF--,,Burundi,BDI,NEPF,intitle:'Burundi Energy Policy Frameworks',,,,,,,,,,
BDI-NRER--,,Burundi,BDI,NRER,intitle:'Burundi Renewable Energy Roadmap',,,,,,,,,,
BDI-NREIP--,,Burundi,BDI,NREIP,intitle:'Burundi Renewable Energy Investment Plan',,,,,,,,,,
BDI-AREA--,,Burundi,BDI,AREA,intitle:'Burundi Atomic Energy Regulatory Act',,,,,,,,,,
BDI-ASE--,,Burundi,BDI,ASE,intitle:'Burundi Achieving Sustainable Energ',,,,,,,,,,
BDI-LCEDP--,,Burundi,BDI,LCEDP,intitle:'Burundi Least Cost Energy Development Plan',,,,,,,,,,
BDI-NECP--,,Burundi,BDI,NECP,intitle:'Burundi Energy and Climate Plan',,,,,,,,,,
BDI-NEDS--,,Burundi,BDI,NEDS,intitle:'Burundi Energy Development Strategy',,,,,,,,,,
BDI-NGP--,,Burundi,BDI,NGP,intitle:'Burundi Gas Policy',,,,,,,,,,
BDI-NREAP--,,Burundi,BDI,NREAP,intitle:'Burundi Renewable Energy Action Plan',,,,,,,,,,
BDI-NREDS--,,Burundi,BDI,NREDS,intitle:'Burundi Renewable Energy Development Strategy',,,,,,,,,,
BDI-NREEP--,,Burundi,BDI,NREEP,intitle:'Burundi Rational and Efficient use of Energy Plan',,,,,,,,,,
BDI-NRES--,,Burundi,BDI,NRES,intitle:'Burundi /Renewable Energy Strategy',,,,,,,,,,
BDI-SREP--,,Burundi,BDI,SREP,intitle:'Burundi Scaling Up Renewable Energy Program',,,,,,,,,,
BDI-NSESDSP--,,Burundi,BDI,NSESDSP,intitle:'Burundi SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,,,,,,,,,
BDI-SEP--,,Burundi,BDI,SEP,intitle:'Burundi Sustainable Energy Project',,,,,,,,,,
BDI-NER--,,Burundi,BDI,NER,intitle:'Burundi Energy Roadmap',,,,,,,,,,
BDI-NEPEAP--,,Burundi,BDI,NEPEAP,intitle:'Burundi Energy Policy and Energy Action Plan',,,,,,,,,,
BDI-NSAPES--,,Burundi,BDI,NSAPES,intitle:'Burundi Strategic Action Plan Energy Sector',,,,,,,,,,
BDI-NREEEP--,,Burundi,BDI,NREEEP,intitle:'Burundi Renewable Electricity and Energy Efficiency Plan',,,,,,,,,,
BDI-NSP--,,Burundi,BDI,NSP,intitle:'Burundi Strategic Plan',,,,,,,,,,
BDI-NEAP--,,Burundi,BDI,NEAP,intitle:'Burundi Energy Action Plan',,,,,,,,,,
CPV-CPD-2005-EN,,Cabo Verde,CPV,CPD,,,Y,Text,6-9 September 2005,2005,,2006,2010,EN,https://digitallibrary.un.org/record/555972/files/DP_DCP_CPV_1_Add.1-EN.pdf?ln=en
CPV-CPD-2005-SP,,Cabo Verde,CPV,CPD,,,Y,Text,6-9 September 2005,2005,,2006,2010,SP,https://digitallibrary.un.org/record/555972/files/DP_DCP_CPV_1_Add.1-ES.pdf?ln=en
CPV-CPD-2005-FR,,Cabo Verde,CPV,CPD,,,Y,Text,6-9 September 2005,2005,,2006,2010,FR,https://digitallibrary.un.org/record/555972/files/DP_DCP_CPV_1_Add.1-FR.pdf?ln=en
CPV-NEPro-2022-EN,,Cabo Verde,CPV,NEPro,,,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Cabo-Verde_Africa_RE_SP.pdf?country=Cabo+Verde&regionID=&countryID=8b8ec68d-b216-4ad1-bb84-43fad6a3c086
CPV-NEP--,,Cabo Verde,CPV,NEP,intitle:'Cabo Verde Energy Policy',,,,,,,,,,
CPV-NREP--,,Cabo Verde,CPV,NREP,intitle:'Cabo Verde Renewable Energy Policy',,,,,,,,,,
CPV-NREPl--,,Cabo Verde,CPV,NREPl,intitle:'Cabo Verde Renewable Energy Plan',,,,,,,,,,
CPV-NETS--,,Cabo Verde,CPV,NETS,intitle:'Cabo Verde Energy Transition Strategy',,,,,,,,,,
CPV-NES--,,Cabo Verde,CPV,NES,intitle:'Cabo Verde Energy Strategy',,,,,,,,,,
CPV-NEEP--,,Cabo Verde,CPV,NEEP,intitle:'Cabo Verde Energy Efficiency Plan',,,,,,,,,,
CPV-NEPF--,,Cabo Verde,CPV,NEPF,intitle:'Cabo Verde Energy Policy Frameworks',,,,,,,,,,
CPV-NRER--,,Cabo Verde,CPV,NRER,intitle:'Cabo Verde Renewable Energy Roadmap',,,,,,,,,,
CPV-NREIP--,,Cabo Verde,CPV,NREIP,intitle:'Cabo Verde Renewable Energy Investment Plan',,,,,,,,,,
CPV-AREA--,,Cabo Verde,CPV,AREA,intitle:'Cabo Verde Atomic Energy Regulatory Act',,,,,,,,,,
CPV-ASE--,,Cabo Verde,CPV,ASE,intitle:'Cabo Verde Achieving Sustainable Energ',,,,,,,,,,
CPV-LCEDP--,,Cabo Verde,CPV,LCEDP,intitle:'Cabo Verde Least Cost Energy Development Plan',,,,,,,,,,
CPV-NECP--,,Cabo Verde,CPV,NECP,intitle:'Cabo Verde Energy and Climate Plan',,,,,,,,,,
CPV-NEDS--,,Cabo Verde,CPV,NEDS,intitle:'Cabo Verde Energy Development Strategy',,,,,,,,,,
CPV-NGP--,,Cabo Verde,CPV,NGP,intitle:'Cabo Verde Gas Policy',,,,,,,,,,
CPV-NREAP--,,Cabo Verde,CPV,NREAP,intitle:'Cabo Verde Renewable Energy Action Plan',,,,,,,,,,
CPV-NREDS--,,Cabo Verde,CPV,NREDS,intitle:'Cabo Verde Renewable Energy Development Strategy',,,,,,,,,,
CPV-NREEP--,,Cabo Verde,CPV,NREEP,intitle:'Cabo Verde Rational and Efficient use of Energy Plan',,,,,,,,,,
CPV-NRES--,,Cabo Verde,CPV,NRES,intitle:'Cabo Verde /Renewable Energy Strategy',,,,,,,,,,
CPV-SREP--,,Cabo Verde,CPV,SREP,intitle:'Cabo Verde Scaling Up Renewable Energy Program',,,,,,,,,,
CPV-NSESDSP--,,Cabo Verde,CPV,NSESDSP,intitle:'Cabo Verde SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,,,,,,,,,
CPV-SEP--,,Cabo Verde,CPV,SEP,intitle:'Cabo Verde Sustainable Energy Project',,,,,,,,,,
CPV-NER--,,Cabo Verde,CPV,NER,intitle:'Cabo Verde Energy Roadmap',,,,,,,,,,
CPV-NEPEAP--,,Cabo Verde,CPV,NEPEAP,intitle:'Cabo Verde Energy Policy and Energy Action Plan',,,,,,,,,,
CPV-NSAPES--,,Cabo Verde,CPV,NSAPES,intitle:'Cabo Verde Strategic Action Plan Energy Sector',,,,,,,,,,
CPV-NREEEP--,,Cabo Verde,CPV,NREEEP,intitle:'Cabo Verde Renewable Electricity and Energy Efficiency Plan',,,,,,,,,,
CPV-NSP--,,Cabo Verde,CPV,NSP,intitle:'Cabo Verde Strategic Plan',,,,,,,,,,
CPV-NEAP--,,Cabo Verde,CPV,NEAP,intitle:'Cabo Verde Energy Action Plan',,,,,,,,,,
KHM-CPD-2019-EN,,Cambodia,KHM,CPD,,,Y,Text,21 - 25 January 2019,2019,,2019,2023,EN,https://digitallibrary.un.org/record/1656942/files/DP_DCP_KHM_4-EN.pdf?ln=en
KHM-CPD-2019-SP,,Cambodia,KHM,CPD,,,Y,Text,21 - 25 January 2019,2019,,2019,2023,SP,https://digitallibrary.un.org/record/1656942/files/DP_DCP_KHM_4-ES.pdf?ln=en
KHM-CPD-2019-FR,,Cambodia,KHM,CPD,,,Y,Text,21 - 25 January 2019,2019,,2019,2023,FR,https://digitallibrary.un.org/record/1656942/files/DP_DCP_KHM_4-FR.pdf?ln=en
KHM-NEP-2019-EN,,Cambodia,KHM,NEP,,,Y,Text,2019,2019,,2019,2030,EN,https://policy.asiapacificenergy.org/sites/default/files/Cambodia%20Basic%20Energy%20Plan.pdf
KHM-NEPro-2022-EN,,Cambodia,KHM,NEPro,,,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Asia/Cambodia_Asia_RE_SP.pdf?country=Cambodia&regionID=&countryID=b2b7b347-b97c-469d-898c-2eac8d7490ec
KHM-NEP--,,Cambodia,KHM,NEP,intitle:'Cambodia Energy Policy',,,,,,,,,,
KHM-NREP--,,Cambodia,KHM,NREP,intitle:'Cambodia Renewable Energy Policy',,,,,,,,,,
KHM-NREPl--,,Cambodia,KHM,NREPl,intitle:'Cambodia Renewable Energy Plan',,,,,,,,,,
KHM-NETS--,,Cambodia,KHM,NETS,intitle:'Cambodia Energy Transition Strategy',,,,,,,,,,
KHM-NES--,,Cambodia,KHM,NES,intitle:'Cambodia Energy Strategy',,,,,,,,,,
KHM-NEEP--,,Cambodia,KHM,NEEP,intitle:'Cambodia Energy Efficiency Plan',,,,,,,,,,
KHM-NEPF--,,Cambodia,KHM,NEPF,intitle:'Cambodia Energy Policy Frameworks',,,,,,,,,,
KHM-NRER--,,Cambodia,KHM,NRER,intitle:'Cambodia Renewable Energy Roadmap',,,,,,,,,,
KHM-NREIP--,,Cambodia,KHM,NREIP,intitle:'Cambodia Renewable Energy Investment Plan',,,,,,,,,,
KHM-AREA--,,Cambodia,KHM,AREA,intitle:'Cambodia Atomic Energy Regulatory Act',,,,,,,,,,
KHM-ASE--,,Cambodia,KHM,ASE,intitle:'Cambodia Achieving Sustainable Energ',,,,,,,,,,
KHM-LCEDP--,,Cambodia,KHM,LCEDP,intitle:'Cambodia Least Cost Energy Development Plan',,,,,,,,,,
KHM-NECP--,,Cambodia,KHM,NECP,intitle:'Cambodia Energy and Climate Plan',,,,,,,,,,
KHM-NEDS--,,Cambodia,KHM,NEDS,intitle:'Cambodia Energy Development Strategy',,,,,,,,,,
KHM-NGP--,,Cambodia,KHM,NGP,intitle:'Cambodia Gas Policy',,,,,,,,,,
KHM-NREAP--,,Cambodia,KHM,NREAP,intitle:'Cambodia Renewable Energy Action Plan',,,,,,,,,,
KHM-NREDS--,,Cambodia,KHM,NREDS,intitle:'Cambodia Renewable Energy Development Strategy',,,,,,,,,,
KHM-NREEP--,,Cambodia,KHM,NREEP,intitle:'Cambodia Rational and Efficient use of Energy Plan',,,,,,,,,,
KHM-NRES--,,Cambodia,KHM,NRES,intitle:'Cambodia /Renewable Energy Strategy',,,,,,,,,,
KHM-SREP--,,Cambodia,KHM,SREP,intitle:'Cambodia Scaling Up Renewable Energy Program',,,,,,,,,,
KHM-NSESDSP--,,Cambodia,KHM,NSESDSP,intitle:'Cambodia SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,,,,,,,,,
KHM-SEP--,,Cambodia,KHM,SEP,intitle:'Cambodia Sustainable Energy Project',,,,,,,,,,
KHM-NER--,,Cambodia,KHM,NER,intitle:'Cambodia Energy Roadmap',,,,,,,,,,
KHM-NEPEAP--,,Cambodia,KHM,NEPEAP,intitle:'Cambodia Energy Policy and Energy Action Plan',,,,,,,,,,
KHM-NSAPES--,,Cambodia,KHM,NSAPES,intitle:'Cambodia Strategic Action Plan Energy Sector',,,,,,,,,,
KHM-NREEEP--,,Cambodia,KHM,NREEEP,intitle:'Cambodia Renewable Electricity and Energy Efficiency Plan',,,,,,,,,,
KHM-NSP--,,Cambodia,KHM,NSP,intitle:'Cambodia Strategic Plan',,,,,,,,,,
KHM-NEAP--,,Cambodia,KHM,NEAP,intitle:'Cambodia Energy Action Plan',,,,,,,,,,
CMR-CPD-2021-EN,,"Cameroon, Republic of",CMR,CPD,,,Y,Text,30 August–2 September 2021,2021,,2022,2026,EN,https://digitallibrary.un.org/record/3932443/files/DP_DCP_CMR_4-EN.pdf?ln=en
CMR-CPD-2021-SP,,"Cameroon, Republic of",CMR,CPD,,,Y,Text,30 August–2 September 2021,2021,,2022,2026,SP,https://digitallibrary.un.org/record/3932443/files/DP_DCP_CMR_4-ES.pdf?ln=en
